ID,Country,City,School,City Confidence,Notes,Source Page
418,China,Changzhou,Wycombe Abbey International School,High,,f_pak
419,China,Xi'an,Xi'an Hanova International School,High,,f_pak
420,China,Xi'an,Xi'an Hi-Tech International School,High,,f_pak
421,China,Xi'an,Xi'an Jiao Tong Affiliated School,High,,f_pak
422,China,Xi'an,Xi'an Liangjiatan International School,High,,f_pak
423,China,Xiamen,Xiamen International School,High,,f_pak
424,China,Hefei,Xinhua Academy,Medium,Hefei Xinhua Academy,f_pak
425,China,Shanghai,Xiwai International School,High,Songjiang district,f_pak
426,China,Beijing,Yang Guang Qing School Beijing,High,,f_pak
427,China,Beijing,Yew Chung International Beijing,High,,f_pak
428,China,Chongqing,Yew Chung International School Chongqing,High,,f_pak
429,China,Qingdao,Yew Chung International School Qingdao,High,,f_pak
430,China,Shanghai,Yew Chung International School Shanghai,High,,f_pak
431,China,Guangzhou,Yew Wah International Education School Guangzhou,High,,f_pak
432,China,Shanghai,Yew Wah International Education School Shanghai Gubei,High,,f_pak
433,China,Shanghai,Yew Wah International Education School Shanghai Lingang,High,,f_pak
434,China,Yantai,Yew Wah International Education School Yantai,High,,f_pak
435,China,Yichang,Yichang International School,High,,f_pak
436,China,Guangzhou,Yinghao College,Medium,Huadu district,f_pak
437,China,Haikou,Yingya St. Peter's School Hainan,Medium,"Hainan Yingya St Peter's School, Haikou",f_pak
438,China,Shanghai,Yk Pao School,High,,f_pak
439,China,Beijing,Yuxin International Curriculum Centre,Low,Beijing Yuxin School assumed,f_pak
440,China,Weihai,Zhongshi Korean International School,High,,f_pak
441,China,Zhuhai,Zhuhai International School,High,,f_pak
442,Colombia,Bogota,AUSCOM – SENA,Low,SENA is a national training body; location unclear,f_pak
443,Colombia,Barranquilla,British International School (Britanico),Medium,Colegio Britanico Internacional de Barranquilla assumed,f_pak
444,Colombia,Albania,Colegio Albania,Medium,"Albania, La Guajira (Cerrejon mine town)",f_pak
445,Colombia,Bogota,Colegio Anglo Colombiano Bogota,High,,f_pak
446,Colombia,Cali,Colegio Bolivar,High,,f_pak
447,Colombia,Cartagena,Colegio Britanico Cartagena,High,,f_pak
448,Colombia,Medellin,Colegio Canadiense,Medium,"La Estrella, Medellin metro",f_pak
449,Colombia,Cali,Colegio Colombo Britanico,High,,f_pak
450,Colombia,Bogota,Colegio de Ingleterra – The English School,High,Name typo: Inglaterra,f_pak
451,Colombia,Bogota,Colegio Gran Bretaña,High,,f_pak
452,Colombia,Manizales,Colegio Granadino Manizales,High,,f_pak
453,Colombia,Cartagena,Colegio Jorge Washington Cartagena,High,,f_pak
454,Colombia,Barranquilla,Colegio Karl C. Parrish,High,,f_pak
455,Colombia,Bogota,Colegio Los Nogales Bogota,High,,f_pak
456,Colombia,Bogota,Colegio Nueva Granada Bogota,High,,f_pak
457,Colombia,Bucaramanga,Colegio Panamericano,High,Floridablanca,f_pak
458,Colombia,Bogota,Colegio Victoria (The Victoria School),Medium,,f_pak
459,Colombia,Medellin,Columbus School Medellin,High,,f_pak
460,Colombia,Bogota,Gimnasio Fontana,High,,f_pak
461,Colombia,Armenia,Gimnasio Ingles Armenia,High,,f_pak
462,Colombia,Valledupar,La Sierra International School,Medium,,f_pak
463,Colombia,Pereira,Liceo Ingles,Medium,,f_pak
464,Colombia,Bogota,Montessori British School,Medium,,f_pak
465,"Congo, Democratic Republic",Lubumbashi,International School Lubumbashi,High,,f_pak
466,"Congo, Democratic Republic",Kinshasa,The American School of Kinshasa,High,,f_pak
467,"Congo, Republic of",Brazzaville,American International School Brazzaville,High,,f_pak
468,"Congo, Republic of",Pointe-Noire,International School Pointe-Noire,High,,f_pak
469,Costa Rica,San Jose,American International School,Medium,"Cariari, Heredia (San Jose metro)",f_pak
470,Costa Rica,San Jose,Blue Valley School,Medium,Escazu,f_pak
471,Costa Rica,San Jose,British School,Medium,,f_pak
472,Costa Rica,Cobano,Centro Educativo Futuro Verde,Medium,Nicoya Peninsula,f_pak
473,Costa Rica,San Jose,Country Day School,Medium,Escazu; also Guanacaste campus,f_pak
474,Costa Rica,Nosara,Del Mar Academy,Medium,,f_pak
475,Costa Rica,San Jose,Golden Valley School,Medium,Heredia,f_pak
476,Costa Rica,Tilaran,Lakeside International School,Low,Nuevo Arenal,f_pak
477,Costa Rica,San Jose,Lincoln School,High,,f_pak
478,Costa Rica,San Jose,Marian Baker School,High,,f_pak
479,Costa Rica,San Jose,Pan-American School,Medium,Belen,f_pak
480,Costa Rica,San Jose,United World College Costa Rica,Medium,Santa Ana,f_pak
481,Cote D'Ivoire,Abidjan,International Community School Abidjan,High,,f_pak
482,Croatia,Zagreb,American International School Zagreb,High,,f_pak
483,Cuba,Havana,International School of Havana,High,,f_pak
484,Curacao,Willemstad,International School Curacao,High,,f_pak
485,Cyprus,Limassol,American Academy Limassol,High,,f_pak
486,Cyprus,Nicosia,American International School Cyrus,Medium,Name typo: Cyprus,f_pak
487,Cyprus,Kyrenia,English School Kyrenia,High,,f_pak
488,Cyprus,Limassol,Foley's School,Medium,,f_pak
489,Cyprus,Kyrenia,Girne American College,High,Girne = Kyrenia,f_pak
490,Cyprus,Limassol,Heritage Private School,Medium,,f_pak
491,Cyprus,Paphos,Lumio Private School,Medium,,f_pak
492,Cyprus,Limassol,Trinity Private School Cyprus,Medium,,f_pak
493,Czech Republic,Prague,Alternativ,Low,alter-nativ.cz; location uncertain,f_pak
494,Czech Republic,Karlovy Vary,Carlsbad International School,High,Carlsbad = Karlovy Vary,f_pak
495,Czech Republic,Prague,English International School Prague,High,,f_pak
496,Czech Republic,Brno,International School Brno,High,,f_pak
497,Czech Republic,Prague,International School of Prague,High,,f_pak
498,Czech Republic,Prague,Novy Porg,Medium,,f_pak
499,Czech Republic,Prague,Park Lane Prague,High,,f_pak
500,Czech Republic,Prague,Prague British School,High,,f_pak
501,Czech Republic,Prague,Riverside School,Medium,,f_pak
502,Denmark,Aarhus,Aarhus Academy for Global Education,High,,f_pak
503,Denmark,Copenhagen,Copenhagen International School,High,,f_pak
504,Denmark,Esbjerg,Esbjerg International School,High,,f_pak
505,Denmark,Ikast,International School Ikast-Brande,High,,f_pak
506,Denmark,Vejle,The Cosmo-International School,Medium,"The Cosmo - International School of Southern Denmark, Vejle",f_pak
507,Dominican Republic,Santo Domingo,Abraham Lincoln School,Medium,,f_pak
508,Dominican Republic,Punta Cana,Cap Cana Heritage School,High,Cap Cana,f_pak
509,Dominican Republic,Santo Domingo,Carol Morgan School Santo Domingo,High,,f_pak
510,Dominican Republic,Santo Domingo,International School of Santo Domingo,High,,f_pak
511,Dominican Republic,Sosua,International School of Sousa,High,Name typo: Sosua,f_pak
512,Dominican Republic,Santo Domingo,MC School,Medium,,f_pak
513,Dominican Republic,Santo Domingo,Saint Joseph School,Medium,,f_pak
514,Dominican Republic,Santo Domingo,St. Michael's School,Medium,,f_pak
515,"East Timor, Democratic Republic of",Dili,Quality Schools International Dili,High,,f_pak
516,Ecuador,Quito,Academia Cotopaxi,High,,f_pak
517,Ecuador,Quito,British School Quito,High,,f_pak
518,Ecuador,Quito,Colegio Alberto Einstein Quito,High,,f_pak
519,Ecuador,Guayaquil,Colegio Americano de Guayaquil,High,,f_pak
520,Ecuador,Quito,Colegio Menor San Francisco de Quito,High,,f_pak
521,Ecuador,Quito,Fundacion Colegio Americano de Quito,High,,f_pak
522,Ecuador,Guayaquil,InterAmerican Academy Guayaquil,High,,f_pak
523,Ecuador,Quito,ISM International Academy Ecuador,Medium,,f_pak
524,Ecuador,Quito,Liceo Campoverde,Medium,,f_pak
525,Egypt,Alexandria,Alexandria International Academy,High,,f_pak
526,Egypt,Cairo,American International School Cairo,High,,f_pak
527,Egypt,Cairo,American International School West Campus,Medium,6th of October City (Greater Cairo),f_pak
528,Egypt,Alexandria,American School of Alexandria,High,,f_pak
529,Egypt,Cairo,British Columbia Canadian International,Medium,,f_pak
530,Egypt,Cairo,British International School Cairo,High,,f_pak
531,Egypt,Cairo,British International School Madinaty,High,"Madinaty, New Cairo",f_pak
532,Egypt,Cairo,British School Al Rehab,High,"Al Rehab, New Cairo",f_pak
533,Egypt,Alexandria,British School Alexandria,High,,f_pak
534,Egypt,Cairo,British School of Egypt,Medium,,f_pak
535,Egypt,Cairo,Cairo American College,High,,f_pak
536,Egypt,Cairo,Cairo English School,High,,f_pak
537,Egypt,Cairo,Canadian International School,Medium,,f_pak
538,Egypt,Cairo,Capital International Schools,Medium,,f_pak
539,Egypt,Cairo,City International Schools,Medium,,f_pak
540,Egypt,Cairo,Continental School Cairo,High,,f_pak
541,Egypt,Cairo,Dover American International School,Medium,,f_pak
542,Egypt,Cairo,Egypt British International School,Medium,,f_pak
543,Egypt,Cairo,Egyptian American International School,Medium,,f_pak
544,Egypt,Cairo,Egyptian American Language School,Medium,,f_pak
545,Egypt,Cairo,El Alsson British American International School,Medium,,f_pak
546,Egypt,El Gouna,El Gouna International School,High,,f_pak
547,Egypt,Cairo,Forsan British School,Medium,,f_pak
548,Egypt,Alexandria,GEMS Academy Alexandria,High,,f_pak
549,Egypt,Cairo,GEMS International School Cairo,High,,f_pak
550,Egypt,Cairo,Global Paradigm School,Medium,,f_pak
551,Egypt,Cairo,Hayah International Academy,Medium,,f_pak
552,Egypt,Cairo,Heritage International School,Medium,,f_pak
553,Egypt,Cairo,Infinity International School,Medium,,f_pak
554,Egypt,Cairo,Integrated Thebes Schools,Medium,,f_pak
555,Egypt,Alexandria,International American School Alexandria,High,,f_pak
556,Egypt,Alexandria,International British School Alexandria,High,,f_pak
557,Egypt,Cairo,International School Choueifat 6th October,High,6th of October City (Greater Cairo),f_pak
558,Egypt,Cairo,International School Choueifat Cairo,High,,f_pak
559,Egypt,Cairo,International School Egypt,Medium,,f_pak
560,Egypt,Cairo,Kent College Egypt,Medium,West Cairo,f_pak
561,Egypt,Cairo,Maadi British International School,High,Maadi,f_pak
562,Egypt,Cairo,Malvern College Egypt,Medium,,f_pak
563,Egypt,Cairo,Metropolitan International School,Medium,,f_pak
564,Egypt,Cairo,MISR Language School,Medium,6th of October City,f_pak
565,Egypt,Cairo,MISR American College,Medium,,f_pak
566,Egypt,Cairo,Modern American School Egypt,Medium,,f_pak
567,Egypt,Cairo,Modern English School K-12,Medium,,f_pak
568,Egypt,Cairo,Narmer American College,Medium,,f_pak
569,Egypt,Cairo,Nefetari International School,Medium,Name typo: Nefertari,f_pak
570,Egypt,Cairo,New Cairo British International School,High,,f_pak
571,Egypt,Cairo,New Vision International Schools,Medium,,f_pak
572,Egypt,Cairo,Pioneers Language School,Medium,,f_pak
573,Egypt,Cairo,Regent British School,Medium,,f_pak
574,Egypt,Cairo,Repton School Cairo,High,,f_pak
575,Egypt,Cairo,Sakkara Language Center,Medium,,f_pak
576,Egypt,Alexandria,Schutz American School,High,,f_pak
577,Egypt,Cairo,Smart International School,Medium,,f_pak
578,Egypt,Cairo,Smart Village School,Medium,"Smart Village, 6th of October",f_pak
579,Egypt,Cairo,St. Fatima Language School,Medium,,f_pak
580,Egypt,Cairo,Thebes American College,Medium,,f_pak
581,Egypt,Cairo,Uppingham Cairo,High,,f_pak
582,Egypt,Cairo,Uptown International School,Medium,,f_pak
583,El Salvador,San Salvador,Academia Britanica Cuscatleca,Medium,"Santa Tecla, San Salvador metro",f_pak
584,El Salvador,San Salvador,American School El Salvador,High,,f_pak
585,Eritrea,Asmara,Asmara International Community School,High,,f_pak
586,Estonia,Tallinn,International School Estonia,High,,f_pak
587,Estonia,Tallinn,International School Tallinn,High,,f_pak
588,Ethiopia,Addis Ababa,British International School Addis Ababa,High,,f_pak
589,Ethiopia,Addis Ababa,Gibson Youth Academy,Medium,,f_pak
590,Ethiopia,Addis Ababa,International Community School Addis Ababa,High,,f_pak
591,Ethiopia,Addis Ababa,Sandford International School,Medium,,f_pak
592,Fiji Islands,Nadi,International School Nadi,High,,f_pak
593,Fiji Islands,Suva,International School Suva,High,,f_pak
594,Finland,Helsinki,International School of Helsinki,High,,f_pak
595,France,Paris,American School Paris,High,Saint-Cloud,f_pak
596,France,Bordeaux,Bordeaux International School,High,,f_pak
597,France,Sophia Antipolis,Ebica International School,Medium,"Valbonne, near Nice/Cannes",f_pak
598,France,Paris,Inter-Community School Paris,High,,f_pak
599,France,Paris,International School Paris,High,,f_pak
600,France,Toulouse,International School Toulouse,High,,f_pak
601,France,Paris,Kingsworth International School,Medium,,f_pak
602,France,Paris,Malherbe International School,Medium,Le Chesnay area,f_pak
603,France,Paris,Marymount International School,High,Neuilly-sur-Seine,f_pak
604,France,Paris,Open Sky International,Medium,,f_pak
605,Gabon,Libreville,American International School Libreville,High,,f_pak
606,Gabon,Libreville,Ecole Ruban Vert International School,Medium,,f_pak
607,Georgia,Tbilisi,British International School Tbilisi,High,,f_pak
608,Georgia,Tbilisi,European School,Medium,,f_pak
609,Georgia,Tbilisi,New School International School,Medium,,f_pak
610,Georgia,Tbilisi,QSI International School Tbilisi,High,,f_pak
611,Germany,Munich,Bavarian International School,High,Haimhausen,f_pak
612,Germany,Berlin,Berlin Brandenburg International School,High,Kleinmachnow,f_pak
613,Germany,Berlin,Berlin British School,High,,f_pak
614,Germany,Berlin,Berlin Cosmopolitan School,High,,f_pak
615,Germany,Berlin,Berlin International School,High,,f_pak
616,Germany,Berlin,Berlin Metropolitan School,High,,f_pak
617,Germany,Bonn,Bonn International School,High,,f_pak
618,Germany,Stuttgart,Christian Life Academy,Medium,Christian Life Academy Stuttgart,f_pak
619,Germany,Cologne,Cologne International School,High,,f_pak
620,Germany,Dresden,Dresden International School,High,,f_pak
621,Germany,Frankfurt,European School Rhein Main,Medium,"Bad Vilbel, near Frankfurt",f_pak
622,Germany,Erlangen,Franconian International School,High,,f_pak
623,Germany,Frankfurt,Frankfurt International School & Wiesbaden,High,Oberursel; Wiesbaden campus too,f_pak
624,Germany,Heidelberg,Heidelberger Privatschulcentrum,High,,f_pak
625,Germany,Bonn,Independent Bonn International School,High,,f_pak
626,Germany,Bochum,International School of Bochum,High,,f_pak
627,Germany,Bremen,International School Bremen,High,,f_pak
628,Germany,Dusseldorf,International School of Dusseldorf,High,,f_pak
629,Germany,Frankfurt,International School Germany,Low,Generic name; school unidentified,f_pak
630,Germany,Hamburg,International School Hamburg,High,,f_pak
631,Germany,Hannover,International School Hannover Region,High,,f_pak
632,Germany,Heiligenhaus,International School Heilgenhaus,High,Name typo: Heiligenhaus,f_pak
633,Germany,Neustadt an der Weinstrasse,International School Neustadt,High,,f_pak
634,Germany,Essen,International School Ruhr,Medium,,f_pak
635,Germany,Stuttgart,International School Stuttgart,High,,f_pak
636,Germany,Ulm,International School Ulm,High,,f_pak
637,Germany,Berlin,International School Villa Amalienhof,Medium,Spandau,f_pak
638,Germany,Ramstein-Miesenbach,International School Westpfalz,Medium,,f_pak
639,Germany,Neuss,Internationale Schule am Rhein (ISR),High,"Neuss, near Dusseldorf",f_pak
640,Germany,Frankfurt,ISF International School Frankfurt Rhein-Main,High,,f_pak
641,Germany,Berlin,"John F. Kennedy School, Berlin",High,,f_pak
642,Germany,Heilbronn,Josef Schwarz Schule,Medium,Josef-Schwarz-Schule (Phorms); campuses in Erlenbach and Heilbronn,f_pak
643,Germany,Hanover,Kammer International Bilingual School,High,,f_pak
644,Germany,Leipzig,Leipzig International School,High,,f_pak
645,Germany,Viernheim,Metropolitan International School,High,"MIS Viernheim, near Mannheim",f_pak
646,Germany,Frankfurt,Metropolitan School Frankfurt,High,,f_pak
647,Germany,Starnberg,Munich International School,High,"Percha, Starnberg, ~25 km SW of Munich",f_pak
648,Germany,Berlin,Phorms Berlin,High,,f_pak
649,Germany,Frankfurt,Phorms Frankfurt,High,,f_pak
650,Germany,Munich,Phorms Munich,High,,f_pak
651,Germany,Berlin,Quentin Blake Europe School Berlin,High,,f_pak
652,Germany,Uberlingen,Salem International College,Medium,Schule Schloss Salem international college at Spetzgart/Uberlingen,f_pak
653,Germany,Glauchau,Saxony International Schools,Medium,group of schools across Saxony; HQ Glauchau,f_pak
654,Germany,Cologne,St. George's English International School,Medium,"group with campuses in Cologne, Munich, Duisburg; original Cologne campus given",f_pak
655,Germany,Berlin,St Petrus Kindergarten,Low,could not identify school,f_pak
656,Germany,Dreieich,Strothoff International School,High,near Frankfurt,f_pak
657,Germany,Weimar,Thuringia International School,High,,f_pak
658,Germany,Hamburg,Wabe International School,High,,f_pak
659,Ghana,Accra,Canadian Independent College,High,,f_pak
660,Ghana,Accra,Ghana International School,High,,f_pak
661,Ghana,Accra,Lincoln Community School,High,,f_pak
662,Great Britain,Cobham,ACS International Schools – Cobham,High,,f_pak
663,Great Britain,Egham,ACS International School – Egham,High,,f_pak
664,Great Britain,London,ACS International Schools – Hillingdon,High,"Hillingdon, west London",f_pak
665,Great Britain,Bath,Ashwicke Hall School,Medium,"Marshfield, Wiltshire, near Bath; school closed",f_pak
666,Great Britain,Fareham,Boundary Oak School,High,Hampshire,f_pak
667,Great Britain,Cambridge,Cambridge International School,High,,f_pak
668,Great Britain,London,Halcyon London International School,High,,f_pak
669,Great Britain,London,International Community School London,High,,f_pak
670,Great Britain,Aberdeen,International School of Aberdeen Scotland,High,,f_pak
671,Great Britain,London,International School of London,High,,f_pak
672,Great Britain,London,King Fahad Academy London England,High,,f_pak
673,Great Britain,London,Marymount International School,High,Kingston upon Thames,f_pak
674,Great Britain,London,North London International School,High,,f_pak
675,Great Britain,Reading,Padworth College Berkshire UK,Medium,"Padworth village, near Reading",f_pak
676,Great Britain,London,Southbank International School,High,,f_pak
677,Great Britain,Thorpe,TASIS The American School in England,High,"Thorpe, Surrey, near Egham",f_pak
678,Greece,Athens,American Community Schools Athens,High,,f_pak
679,Greece,Athens,Ionios School IB,High,Filothei,f_pak
680,Greece,Thessaloniki,Pinewood School,High,,f_pak
681,Greece,Athens,St. Catherine's British School,High,,f_pak
682,Greece,Athens,St Lawrence College,High,Koropi,f_pak
683,Guam,Santa Rita,Southern High School Guam GPSS,Medium,,f_pak
684,Guam,Tamuning,St. John's School Tumon Bay,High,Tumon,f_pak
685,Guatemala,Guatemala City,American School / Colegio Americano,High,,f_pak
686,Guatemala,Antigua Guatemala,Antigua International School,High,,f_pak
687,Guatemala,Guatemala City,Colegio Americano del Sur,Medium,,f_pak
688,Guatemala,Guatemala City,Colegio Decroly Americano,High,,f_pak
689,Guatemala,Guatemala City,Colegio Inter-Americano,High,,f_pak
690,Guatemala,Guatemala City,Colegio Maya,High,,f_pak
691,Guatemala,Guatemala City,Han Al American School,High,,f_pak
692,Guatemala,Panajachel,Life School,High,,f_pak
693,Guatemala,Panajachel,Panajachel Colegio International,High,,f_pak
694,Guatemala,Guatemala City,Village School,Medium,,f_pak
695,"Guinea, Africa",Conakry,American International School Conakry,High,,f_pak
696,"Guinea, Africa",Conakry,English Speaking Community School,Medium,,f_pak
697,"Guinea, Africa",Conakry,International School Conakry,High,,f_pak
698,Guyana,Georgetown,Georgetown International Academy,High,,f_pak
699,Haiti,Port-au-Prince,Union School,High,,f_pak
700,Honduras,San Pedro Sula,Agape Christian Academy,High,,f_pak
701,Honduras,Zamorano,Allison Bixby Stone School,Medium,"Zamorano (San Antonio de Oriente), near Tegucigalpa",f_pak
702,Honduras,Tegucigalpa,American School of Tegucigalpa,High,,f_pak
703,Honduras,Juticalpa,Centro Escolar Concepcion de Maria,Medium,,f_pak
704,Honduras,Juticalpa,Day-Star School,High,,f_pak
705,Honduras,Tegucigalpa,DelCampo International School Tegucigalpa,High,,f_pak
706,Honduras,Tegucigalpa,Discovery International School,Medium,,f_pak
707,Honduras,Siguatepeque,El Alba Bilingual School Siguatepequ,High,"source name truncated (""Siguatepequ"")",f_pak
708,Honduras,San Pedro Sula,Escuela Internacional de Sampedrana,High,,f_pak
709,Honduras,La Ceiba,Mazapan School,High,,f_pak
710,Honduras,Santa Rosa de Copan,Western International School Honduras,High,,f_pak
711,Hong Kong,Hong Kong,American International School,High,,f_pak
712,Hong Kong,Hong Kong,American School Hong Kong,High,,f_pak
713,Hong Kong,Foshan,ASJ Affiliated School of Jinan University Foshan,High,"listed under Hong Kong on source - actually in Foshan, China",f_pak
714,Hong Kong,Hong Kong,Australian International School Hong Kong,High,,f_pak
715,Hong Kong,Hong Kong,Canadian International School Hong Kong,High,,f_pak
716,Hong Kong,Hong Kong,Carmel Elementary School,High,,f_pak
717,Hong Kong,Hong Kong,Chinese International School,High,,f_pak
718,Hong Kong,Hong Kong,Christian Alliance International School,High,,f_pak
719,Hong Kong,Hong Kong,Creative Secondary School,High,,f_pak
720,Hong Kong,Hong Kong,Delia School of Canada,High,,f_pak
721,Hong Kong,Hong Kong,Diocesan Boys School,High,,f_pak
722,Hong Kong,Hong Kong,Discovery College,High,,f_pak
723,Hong Kong,Hong Kong,Elsa High School,High,,f_pak
724,Hong Kong,Hong Kong,French International School,High,,f_pak
725,Hong Kong,Hong Kong,German Swiss International,High,,f_pak
726,Hong Kong,Hong Kong,Hong Kong Academy,High,,f_pak
727,Hong Kong,Hong Kong,Hong Kong International School,High,,f_pak
728,Hong Kong,Hong Kong,Hong Kong Tech Academy,Medium,,f_pak
729,Hong Kong,Hong Kong,Independent Schools Foundation Academy,High,,f_pak
730,Hong Kong,Hong Kong,Inno Secondary School,Medium,,f_pak
731,Hong Kong,Hong Kong,International Christian School,High,,f_pak
732,Hong Kong,Hong Kong,International College Hong Kong,High,,f_pak
733,Hong Kong,Hong Kong,Island Christian Academy,High,,f_pak
734,Hong Kong,Hong Kong,Kellett School,High,,f_pak
735,Hong Kong,Hong Kong,King George V School,High,,f_pak
736,Hong Kong,Hong Kong,Kingston International School,High,,f_pak
737,Hong Kong,Hong Kong,Lantau International School,High,,f_pak
738,Hong Kong,Hong Kong,Malvern College Hong Kong,High,,f_pak
739,Hong Kong,Hong Kong,Mount Kelly International School,High,,f_pak
740,Hong Kong,Hong Kong,Nord Anglia International School Hong Kong,High,,f_pak
741,Hong Kong,Hong Kong,Oxbridge School Hong Kong,Medium,,f_pak
742,Hong Kong,Hong Kong,Phonics Education Association (PEA),Medium,,f_pak
743,Hong Kong,Hong Kong,Po Leung Kuk Choi Kai Yau,High,,f_pak
744,Hong Kong,Hong Kong,Renaissance College,High,,f_pak
745,Hong Kong,Hong Kong,Singapore International School,High,,f_pak
746,Hong Kong,Hong Kong,South Island School,High,,f_pak
747,Hong Kong,Hong Kong,Stamford American School Hong Kong,High,,f_pak
748,Hong Kong,Hong Kong,St. Catherine's International Kindergarten & Nursery,High,,f_pak
749,Hong Kong,Hong Kong,The Harbour School,High,,f_pak
750,Hong Kong,Hong Kong,Think International School,High,,f_pak
751,Hong Kong,Hong Kong,Victoria Educational Organisation,High,,f_pak
752,Hong Kong,Hong Kong,Victoria Shanghai Academy,High,"despite name, located in Hong Kong (Aberdeen)",f_pak
753,Hong Kong,Hong Kong,West Island School,High,,f_pak
754,Hong Kong,Hong Kong,Woodland Group of Schools,High,,f_pak
755,Hong Kong,Hong Kong,Yew Chung International School,High,,f_pak
756,Hungary,Budapest,American International School Budapest,High,,f_pak
757,Hungary,Miskolc,Avalon International School,High,,f_pak
758,Hungary,Budapest,Britannica International School Budapest,High,,f_pak
759,Hungary,Budapest,British International School Budapest,High,,f_pak
760,Hungary,Budapest,Budapest British International School,High,,f_pak
761,Hungary,Budapest,International School Budapest,High,,f_pak
762,Hungary,Debrecen,International School Debrecen,High,,f_pak
763,India,Mumbai,Aditya Birla World Academy,High,,f_pak
764,India,New Delhi,American Embassy School Delhi,High,,f_pak
765,India,Chennai,American International School Chennai,High,,f_pak
766,India,Mumbai,American School Bombay,High,,f_pak
767,India,Bangalore,Bangalore International School,High,,f_pak
768,India,Gurgaon,Banyan Tree IB World School Gurgaon,High,,f_pak
769,India,Supaul,Bivha International School,Medium,"Simrahi Bazar, Supaul district, Bihar",f_pak
770,India,New Delhi,British School New Delhi,High,,f_pak
771,India,Bangalore,Canadian International Bangalore,High,,f_pak
772,India,Lonavala,Cathedral Vidya School,High,,f_pak
773,India,Karjat,Corvuss American Academy,Medium,near Mumbai,f_pak
774,India,Mumbai,DSB International School,High,,f_pak
775,India,Mumbai,Dhirubhai Ambani International School,High,,f_pak
776,India,Mumbai,Ecole Mondiale World School,High,,f_pak
777,India,Mumbai,Edubridge International School,Medium,,f_pak
778,India,Gurgaon,Excelsior American School Gurgaon,High,,f_pak
779,India,Nashik,Fravashi International Academy Nashik,High,,f_pak
780,India,Mumbai,Garodia International Centre for Learning Mumbai,High,,f_pak
781,India,Ooty,Good Sheperd International School,High,"source typo ""Sheperd""",f_pak
782,India,Bangalore,Greenwood High International School,High,,f_pak
783,India,Bangalore,Harrow International School Bengaluru,High,,f_pak
784,India,Gurgaon,Heritage Xperiential Learning School,High,,f_pak
785,India,Bangalore,Indus International School,High,"group with campuses in Bangalore, Pune, Hyderabad; main campus given",f_pak
786,India,Lonavala,International School Aamby,Medium,Aamby Valley City,f_pak
787,India,Bangalore,International School Bangalore,High,,f_pak
788,India,Hyderabad,International School Hyderabad,High,,f_pak
789,India,Bangalore,Jain International Residential School,High,,f_pak
790,India,Mumbai,JBCN International School,High,,f_pak
791,India,Kodaikanal,Kodaikanal International School,High,,f_pak
792,India,Mumbai,Lakkshya International School,Low,could not identify school,f_pak
793,India,Gurgaon,Lancers International School,High,,f_pak
794,India,Pune,Mahindra International School,High,,f_pak
795,India,Pune,Mahindra United World College India,High,"Paud, Mulshi, near Pune",f_pak
796,India,Pune,Mercedes Benz International School,High,,f_pak
797,India,Pune,MIT Vishwashanti Gurukul,High,Loni Kalbhor,f_pak
798,India,Hyderabad,Mosaica American School,Medium,also had a Gurgaon campus,f_pak
799,India,Hyderabad,Oakridge International School,High,group with multiple campuses; main campus city given,f_pak
800,India,Mumbai,Oberoi International School,High,,f_pak
801,India,Gurgaon,Pathways World School,High,Aravali campus; group also has Noida campus,f_pak
802,India,Hyderabad,Sancta Maria International School,High,,f_pak
803,India,Pune,Sharad Pawar International School,Medium,,f_pak
804,India,Mumbai,Singapore International School Mumbai,High,,f_pak
805,India,Bangalore,Stonehill International School,High,,f_pak
806,India,Gurgaon,St. Xavier's High School Gurgaon,High,,f_pak
807,India,Chennai,Sushil Hari International Residential School,High,Kelambakkam,f_pak
808,India,Bangalore,Trio World School Bangalore,High,,f_pak
809,India,Pune,Vishwashanti Gurukul,Medium,likely MIT Vishwashanti Gurukul duplicate; main campus Pune,f_pak
810,India,Mussoorie,Woodstock International School,High,,f_pak
811,Indonesia,Jakarta,ACG International School,High,,f_pak
812,Indonesia,Denpasar,Asian International School Bali,Low,Bali; exact locality unclear,f_pak
813,Indonesia,Jakarta,Australian Independent School,High,group; also Bali campus,f_pak
814,Indonesia,Denpasar,Bali International School,High,Sanur,f_pak
815,Indonesia,Bandung,Bandung Independent School,High,,f_pak
816,Indonesia,Jakarta,Beacon Academy,High,,f_pak
817,Indonesia,Jakarta,Binus International School,High,,f_pak
818,Indonesia,Tangerang,BINUS Serpong,High,Serpong,f_pak
819,Indonesia,Jakarta,British International School Jakarta,High,"Bintaro, South Tangerang",f_pak
820,Indonesia,Canggu,Canggu Community School Bali,High,Bali,f_pak
821,Indonesia,Surabaya,Cita Hati Christian School,High,,f_pak
822,Indonesia,Daegu,Daegu International School,High,listed under Indonesia on source - actually in South Korea,f_pak
823,Indonesia,Seoul,Dulwich College Seoul,High,listed under Indonesia on source - actually in South Korea,f_pak
824,Indonesia,Denpasar,Dyatmika School Bali,High,,f_pak
825,Indonesia,Tangerang,Global Jaya School,High,Bintaro,f_pak
826,Indonesia,Ubud,Green School,High,"Sibang Kaja, Bali",f_pak
827,Indonesia,Bogor,International School Bogor,High,,f_pak
828,Indonesia,Jakarta,Jakarta Intercultural School,High,,f_pak
829,Indonesia,Jakarta,Jakarta International Korean School,High,,f_pak
